tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,kapasitas_produksi,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan,jenis_usaha_Fashion,jenis_usaha_Jasa,jenis_usaha_Kesehatan,jenis_usaha_Makanan & Minuman,jenis_usaha_Pendidikan,jenis_usaha_Perdagangan,jenis_usaha_Perusahaan,status_legalitas_Belum Terdaftar,status_legalitas_Terdaftar,nama_usaha,marketplace
-1.6781321541575691,0.2370542523505929,0.10084444018463228,-1.5644857314409266,-0.07242622059919215,0.410675459005804,-1.5510788389598271,-1.0210214813314216,-0.07254782308499443,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,UD. Alif Pamungkas,Tokopedia
-1.5402375616754758,-0.1765840916165057,0.7986639281252526,1.015113557671416,-0.12500201621323115,0.27248226233522005,0.8448522022908489,-1.216515457309985,-0.12513174416972322,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,UD. Zidanar Panji,Bukalapak
0.8384441586406325,0.06470494236430183,1.343115338067938,-0.02148494496526553,-0.40891131252904167,-1.6622224910529544,-0.2730227763112663,0.6406773144863686,-0.40908491802725877,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,UD. Winda Jayengprana,Website Sendiri
1.355548880448482,-1.5209087095095761,1.597990204950661,-0.3421902726579434,1.7046356711553257,-1.247642901041203,-0.6351234840143996,-0.11686184243056516,1.7047887095788392,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,UD. Damaris Satria,Website Sendiri
1.4244961766895288,0.34046383834236754,1.55419377242206,-1.460728295304448,-0.650759972353621,-1.3858360977117867,-1.7226751673073515,1.2515959894193796,-0.6509709550170113,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,UD. Qasya Wiratama,Lazada
0.907391454881679,-0.4523429875945714,1.4129829894976207,-0.44102100986128484,0.5654934328511476,-1.6622224910529544,-0.6971608210398009,0.3229996035212028,0.5654704194097151,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,UD. Grego Wiraatmaja Nara,Bukalapak
-0.43708082181873,0.13364466635881825,1.0681739423002063,-1.4692903391890342,0.751261244020752,-1.247642901041203,-1.6396867883972228,-0.21460883041984694,0.4946574056822801,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,UD. Mika Bagaskara,Lazada
0.8729178067611557,-1.5898484335040926,0.6788828414892263,-0.62330964521383,-0.1390222283769749,-0.41848372101769943,-0.7377238438769697,-0.5078497943876923,-0.1391541231256509,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,UD. Yora Selaras,Tokopedia
1.1142333436048188,1.1332706642793067,-0.9089678767598162,1.0929265631822906,-1.330740262295192,-1.6622224910529544,1.2956828619940308,1.5937104473818657,-1.3310563343795039,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,UD. Wenny Langit,Shopee
-1.1265537842291962,-0.10764436762198926,1.0696729125951723,1.1970383767737338,1.3015545714476935,-0.8330633110294511,0.9721242681632161,-0.8744009993474989,1.3016453145959184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,UD. Fani Wijaya,Website Sendiri
